tournament,matches,percentage_matches
Friendly,17493,40.0
FIFA World Cup qualification,7878,18.0
UEFA Euro qualification,2585,6.0
African Cup of Nations qualification,1932,4.0
FIFA World Cup,964,2.0
Copa América,841,2.0
AFC Asian Cup qualification,764,2.0
African Cup of Nations,741,2.0
CECAFA Cup,620,1.0
CFU Caribbean Cup qualification,606,1.0
Merdeka Tournament,595,1.0
UEFA Nations League,468,1.0
British Home Championship,422,1.0
Gulf Cup,380,1.0
AFC Asian Cup,370,1.0
Gold Cup,358,1.0
Island Games,350,1.0
UEFA Euro,337,1.0
COSAFA Cup,309,1.0
AFF Championship,293,1.0
Nordic Championship,283,1.0
African Nations Championship,264,1.0
CFU Caribbean Cup,251,1.0
King's Cup,239,1.0
Amílcar Cabral Cup,235,1.0
South Pacific Games,205,0.0
CONCACAF Nations League,173,0.0
CONCACAF Championship,169,0.0
UNCAF Cup,164,0.0
Korea Cup,159,0.0
CONCACAF Championship qualification,151,0.0
SAFF Cup,147,0.0
Arab Cup,144,0.0
Confederations Cup,140,0.0
Oceania Nations Cup,128,0.0
Central European International Cup,126,0.0
CCCF Championship,123,0.0
EAFF Championship,122,0.0
CONIFA World Football Cup,101,0.0
Windward Islands Tournament,101,0.0
AFC Challenge Cup,100,0.0
Baltic Cup,98,0.0
WAFF Championship,97,0.0
AFC Challenge Cup qualification,92,0.0
Nehru Cup,89,0.0
Balkan Cup,87,0.0
Indonesia Tournament,75,0.0
Kirin Cup,75,0.0
Cyprus International Tournament,70,0.0
CONCACAF Nations League qualification,68,0.0
UDEAC Cup,65,0.0
Gold Cup qualification,65,0.0
African Nations Championship qualification,64,0.0
Vietnam Independence Cup,60,0.0
Oceania Nations Cup qualification,58,0.0
Palestine Cup,58,0.0
Viva World Cup,56,0.0
West African Cup,54,0.0
Malta International Tournament,53,0.0
Pacific Games,51,0.0
CONIFA European Football Cup,49,0.0
Pan American Championship,39,0.0
Brazil Independence Cup,37,0.0
USA Cup,37,0.0
United Arab Emirates Friendship Tournament,31,0.0
Dynasty Cup,29,0.0
Copa Chevallier Boutell,29,0.0
Copa Lipton,28,0.0
COSAFA Cup qualification,27,0.0
Copa Newton,26,0.0
Merlion Cup,25,0.0
Lunar New Year Cup,25,0.0
Arab Cup qualification,24,0.0
Copa Paz del Chaco,23,0.0
Copa Roca,23,0.0
Kirin Challenge Cup,22,0.0
Prime Minister's Cup,22,0.0
ABCS Tournament,20,0.0
Copa del Pacífico,19,0.0
Inter Games Football Tournament,19,0.0
Copa Rio Branco,18,0.0
Jordan International Tournament,17,0.0
Simba Tournament,17,0.0
Copa Juan Pinto Durán,16,0.0
ELF Cup,16,0.0
Copa Oswaldo Cruz,16,0.0
Copa Carlos Dittborn,16,0.0
UNIFFAC Cup,15,0.0
Dunhill Cup,15,0.0
Millennium Cup,15,0.0
Kuneitra Cup,15,0.0
Copa Premio Honor Uruguayo,15,0.0
Pacific Mini Games,15,0.0
Nile Basin Tournament,14,0.0
GaNEFo,14,0.0
Intercontinental Cup,14,0.0
Copa Artigas,13,0.0
Copa Premio Honor Argentino,12,0.0
King Hassan II Tournament,12,0.0
Atlantic Cup,11,0.0
Tournament Burkina Faso,11,0.0
SKN Football Festival,11,0.0
Rous Cup,11,0.0
Bolivarian Games,11,0.0
Tournoi de France,10,0.0
FIFI Wild Cup,10,0.0
Copa Bernardo O'Higgins,10,0.0
Beijing International Friendship Tournament,10,0.0
VFF Cup,9,0.0
Superclásico de las Américas,8,0.0
Mahinda Rajapaksa Cup,7,0.0
Mundialito,7,0.0
Copa Ramón Castilla,6,0.0
Copa Félix Bogado,6,0.0
NAFC Championship,6,0.0
MSG Prime Minister's Cup,6,0.0
Nations Cup,6,0.0
NAFU Championship,4,0.0
CONIFA Africa Football Cup,4,0.0
Matthews Cup,4,0.0
Guangzhou International Friendship Tournament,4,0.0
World Unity Cup,4,0.0
AFF Championship qualification,4,0.0
Afro-Asian Games,4,0.0
Dakar Tournament,4,0.0
Dragon Cup,4,0.0
Great Wall Cup,4,0.0
Navruz Cup,4,0.0
OSN Cup,4,0.0
Three Nations Cup,3,0.0
Phillip Seaga Cup,3,0.0
CONMEBOL–UEFA Cup of Champions,3,0.0
CONIFA South America Football Cup,3,0.0
Cup of Ancient Civilizations,2,0.0
Atlantic Heritage Cup,2,0.0
Copa América qualification,2,0.0
Évence Coppée Trophy,1,0.0
FIFA 75th Anniversary Cup,1,0.0
TIFOCO Tournament,1,0.0
Real Madrid 75th Anniversary Cup,1,0.0
Copa Confraternidad,1,0.0